finalWorth,age,industries,gender,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country
211000,74,Fashion & Retail,M,110.05,1.1,"$2,715,518,274,227",65.6,102.5
180000,51,Automotive,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
114000,59,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
107000,78,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
106000,92,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
104000,67,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
94500,81,Media & Entertainment,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
93000,83,Telecom,M,141.54,3.6,"$1,258,286,717,125",40.2,105.8
83400,65,Diversified,M,180.44,7.7,"$2,611,000,000,000",28.1,113
80700,67,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
80500,69,Fashion & Retail,F,110.05,1.1,"$2,715,518,274,227",65.6,102.5
79200,50,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
77300,87,Fashion & Retail,M,110.96,0.7,"$1,394,116,310,769",88.9,102.7
76000,49,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
68000,68,Food & Beverage,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
64400,38,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
59000,87,Diversified,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
59000,60,Diversified,F,117.24,7.5,"$21,427,700,000,000",88.2,101.8
58800,74,Fashion & Retail,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
57600,78,Fashion & Retail,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
56700,73,Fashion & Retail,F,117.24,7.5,"$21,427,700,000,000",88.2,101.8
54400,65,Media & Entertainment,M,116.76,1.9,"$1,736,425,629,520",68.9,100.9
50100,58,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
47200,60,Diversified,M,180.44,7.7,"$2,611,000,000,000",28.1,113
45100,85,Fashion & Retail,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
45000,39,Technology,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
42900,83,Fashion & Retail,M,112.85,1.4,"$3,845,630,030,824",70.2,104
40100,86,Fashion & Retail,M,110.05,1.1,"$2,715,518,274,227",65.6,102.5
39100,85,Logistics,M,99.55,0.4,"$703,082,435,360",59.6,105.2
38900,58,Food & Beverage,M,117.11,1.4,"$529,606,710,418",79.7,103.9
38300,83,Food & Beverage,F,117.24,7.5,"$21,427,700,000,000",88.2,101.8
38300,87,Food & Beverage,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
35300,51,Technology,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
35000,77,Gambling & Casinos,F,117.24,7.5,"$21,427,700,000,000",88.2,101.8
35000,54,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
34700,30,Food & Beverage,M,118.06,1.5,"$446,314,739,528",85.1,103.1
33400,54,Automotive,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
32600,74,Fashion & Retail,M,105.48,0.5,"$5,081,769,542,380",63.2,98.8
32100,65,Diversified,M,119.62,1.7,"$2,827,113,184,696",60,101.2
31600,74,Fashion & Retail,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
31600,72,Fashion & Retail,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
31200,82,Logistics,M,99.55,0.4,"$703,082,435,360",59.6,105.2
31200,78,Logistics,F,99.55,0.4,"$703,082,435,360",59.6,105.2
30200,43,Technology,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
29700,87,Manufacturing,M,112.85,1.4,"$3,845,630,030,824",70.2,104
28500,64,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
28100,84,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
27800,76,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
27400,60,Automotive,F,112.85,1.4,"$3,845,630,030,824",70.2,104
27000,69,Metals & Mining,F,119.8,1.6,"$1,392,680,589,329",113.1,100.3
26700,51,Technology,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
26600,69,Metals & Mining,M,141.54,3.6,"$1,258,286,717,125",40.2,105.8
25600,77,Technology,M,180.44,7.7,"$2,611,000,000,000",28.1,113
25500,74,Energy,M,151.18,3,"$1,119,190,780,753",36.3,106.4
25300,78,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
25200,51,Metals & Mining,M,114.52,-1.9,"$421,142,267,938",36.8,108.4
24600,56,Automotive,M,112.85,1.4,"$3,845,630,030,824",70.2,104
24400,52,Technology,F,117.24,7.5,"$21,427,700,000,000",88.2,101.8
24200,82,Finance & Investments,M,151.18,3,"$1,119,190,780,753",36.3,106.4
23700,62,Metals & Mining,M,180.75,4.5,"$1,699,876,578,871",81.9,102.6
23500,58,Technology,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
23400,80,Manufacturing,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
23100,80,Metals & Mining,F,131.91,2.6,"$282,318,159,745",88.5,101.4
23100,83,Manufacturing,M,151.18,3,"$1,119,190,780,753",36.3,106.4
22900,70,Manufacturing,M,119.62,1.7,"$2,827,113,184,696",60,101.2
22600,81,Healthcare,M,180.44,7.7,"$2,611,000,000,000",28.1,113
22400,65,Telecom,M,105.48,0.5,"$5,081,769,542,380",63.2,98.8
22100,66,Metals & Mining,M,180.75,4.5,"$1,699,876,578,871",81.9,102.6
22000,52,Food & Beverage,M,110.05,1.1,"$2,715,518,274,227",65.6,102.5
21600,61,Finance & Investments,F,117.24,7.5,"$21,427,700,000,000",88.2,101.8
21600,67,Energy,M,180.75,4.5,"$1,699,876,578,871",81.9,102.6
21200,36,Fashion & Retail,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
21200,52,Service,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
21100,60,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
21000,90,Fashion & Retail,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
21000,77,Manufacturing,M,105.48,0.5,"$5,081,769,542,380",63.2,98.8
20900,57,Metals & Mining,M,180.75,4.5,"$1,699,876,578,871",81.9,102.6
20500,72,Energy,M,180.75,4.5,"$1,699,876,578,871",81.9,102.6
20200,84,Healthcare,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
19600,61,Metals & Mining,M,119.8,1.6,"$1,392,680,589,329",113.1,100.3
19100,73,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
19000,59,Automotive,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
19000,55,Metals & Mining,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
18900,57,Food & Beverage,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
18700,57,Automotive,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
18500,77,Energy,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
18500,65,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
18500,70,Energy,M,180.75,4.5,"$1,699,876,578,871",81.9,102.6
18000,61,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
17700,72,Metals & Mining,M,119.62,1.7,"$2,827,113,184,696",60,101.2
17500,66,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
17500,87,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
17500,73,Metals & Mining,F,180.44,7.7,"$2,611,000,000,000",28.1,113
17400,90,Real Estate,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
17400,83,Fashion & Retail,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
17100,92,Media & Entertainment,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
16700,70,Finance & Investments,F,99.55,0.4,"$703,082,435,360",59.6,105.2
16500,72,Fashion & Retail,M,112.85,1.4,"$3,845,630,030,824",70.2,104
16500,55,Finance & Investments,F,116.48,2.8,"$246,489,245,495",64.1,100.7
16300,72,Healthcare,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
16200,75,Fashion & Retail,M,110.51,1.8,"$530,832,908,738",67,126.6
16200,67,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
16000,55,Finance & Investments,M,99.55,0.4,"$703,082,435,360",59.6,105.2
15900,67,Food & Beverage,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
15800,83,Food & Beverage,M,99.55,0.4,"$703,082,435,360",59.6,105.2
15600,67,Healthcare,M,180.44,7.7,"$2,611,000,000,000",28.1,113
15500,45,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
15300,68,Fashion & Retail,M,180.44,7.7,"$2,611,000,000,000",28.1,113
15200,56,Automotive,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
14900,83,Diversified,M,113.27,0.7,"$543,649,976,166",49.3,99.8
14900,81,Fashion & Retail,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
14800,78,Food & Beverage,M,113.27,0.7,"$543,649,976,166",49.3,99.8
14700,68,Food & Beverage,F,119.62,1.7,"$2,827,113,184,696",60,101.2
14600,60,Healthcare,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
14500,59,Automotive,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
14300,95,Manufacturing,M,114.41,0.6,"$372,062,527,489",84.8,100.6
14200,55,Diversified,M,180.44,7.7,"$2,611,000,000,000",28.1,113
14200,65,Manufacturing,M,267.51,11.4,"$448,120,428,859",10.2,84.7
14000,67,Diversified,M,119.62,1.7,"$2,827,113,184,696",60,101.2
13900,57,Healthcare,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
13700,78,Logistics,M,119.62,1.7,"$2,827,113,184,696",60,101.2
13700,76,Construction & Engineering,F,117.24,7.5,"$21,427,700,000,000",88.2,101.8
13700,47,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
13300,80,Sports,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
13300,80,Energy,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
13200,60,Automotive,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
13100,90,Real Estate,M,119.8,1.6,"$1,392,680,589,329",113.1,100.3
12900,64,Finance & Investments,M,180.44,7.7,"$2,611,000,000,000",28.1,113
12900,75,Sports,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
12600,58,Energy,M,119.62,1.7,"$2,827,113,184,696",60,101.2
12300,57,Energy,M,113.27,0.7,"$543,649,976,166",49.3,99.8
12200,50,Metals & Mining,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
12200,69,Healthcare,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
12100,72,Automotive,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
12000,59,Technology,F,117.24,7.5,"$21,427,700,000,000",88.2,101.8
11600,82,Real Estate,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
11500,38,Technology,M,114.52,-1.9,"$421,142,267,938",36.8,108.4
11500,73,Healthcare,M,112.85,1.4,"$3,845,630,030,824",70.2,104
11500,73,Healthcare,M,112.85,1.4,"$3,845,630,030,824",70.2,104
11400,59,Food & Beverage,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
11400,50,Fashion & Retail,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
11300,74,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
11300,69,Manufacturing,M,108.15,0.8,"$395,098,666,122",63.4,104.9
11300,62,Manufacturing,M,119.8,1.6,"$1,392,680,589,329",113.1,100.3
11300,57,Finance & Investments,M,99.55,0.4,"$703,082,435,360",59.6,105.2
11100,88,Fashion & Retail,M,110.62,0.6,"$2,001,244,392,042",61.9,101.9
11100,72,Fashion & Retail,M,158.93,4.1,"$351,431,649,241",22.4,100.9
11000,51,Technology,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
10900,83,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
10900,85,Fashion & Retail,F,117.24,7.5,"$21,427,700,000,000",88.2,101.8
10900,67,Fashion & Retail,M,141.54,3.6,"$1,258,286,717,125",40.2,105.8
10700,93,Media & Entertainment,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
10600,81,Sports,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
10600,73,Food & Beverage,M,167.4,3.7,"$1,839,758,040,766",51.3,115.4
10500,57,Finance & Investments,M,180.75,4.5,"$1,699,876,578,871",81.9,102.6
10500,39,Fashion & Retail,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
10500,45,Finance & Investments,M,114.52,-1.9,"$421,142,267,938",36.8,108.4
10300,70,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
10200,43,Technology,M,119.8,1.6,"$1,392,680,589,329",113.1,100.3
10200,60,Healthcare,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
10200,82,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
10200,64,Energy,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
10200,74,Manufacturing,M,180.75,4.5,"$1,699,876,578,871",81.9,102.6
10200,41,Technology,M,114.41,0.6,"$372,062,527,489",84.8,100.6
10200,58,Automotive,M,112.85,1.4,"$3,845,630,030,824",70.2,104
10200,74,Fashion & Retail,F,117.24,7.5,"$21,427,700,000,000",88.2,101.8
10100,43,Technology,M,119.8,1.6,"$1,392,680,589,329",113.1,100.3
10100,81,Diversified,M,121.46,0.7,"$364,701,517,788",45.1,105.3
10100,59,Real Estate,F,125.08,2.9,"$19,910,000,000,000",50.6,100.2
10000,85,Energy,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
9900,74,Service,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
9800,74,Diversified,M,114.52,-1.9,"$421,142,267,938",36.8,108.4
9800,80,Fashion & Retail,M,99.55,0.4,"$703,082,435,360",59.6,105.2
9800,51,Logistics,M,110.05,1.1,"$2,715,518,274,227",65.6,102.5
9800,53,Logistics,M,110.05,1.1,"$2,715,518,274,227",65.6,102.5
9800,55,Logistics,F,110.05,1.1,"$2,715,518,274,227",65.6,102.5
9800,75,Finance & Investments,M,110.51,1.8,"$530,832,908,738",67,126.6
9700,63,Manufacturing,M,180.75,4.5,"$1,699,876,578,871",81.9,102.6
9700,59,Finance & Investments,M,115.16,0.4,"$2,029,000,000,000",94.3,98.1
9700,53,Technology,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
9700,76,Manufacturing,M,112.85,1.4,"$3,845,630,030,824",70.2,104
9700,64,Healthcare,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
9600,70,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
9600,70,Energy,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
9600,67,Manufacturing,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
9600,58,Food & Beverage,F,117.24,7.5,"$21,427,700,000,000",88.2,101.8
9600,62,Food & Beverage,F,117.24,7.5,"$21,427,700,000,000",88.2,101.8
9600,64,Food & Beverage,F,117.24,7.5,"$21,427,700,000,000",88.2,101.8
9600,66,Food & Beverage,F,117.24,7.5,"$21,427,700,000,000",88.2,101.8
9500,71,Finance & Investments,M,110.05,1.1,"$2,715,518,274,227",65.6,102.5
9500,94,Diversified,M,116.76,1.9,"$1,736,425,629,520",68.9,100.9
9400,57,Healthcare,M,99.55,0.4,"$703,082,435,360",59.6,105.2
9400,44,Technology,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
9300,41,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
9300,75,Manufacturing,M,119.62,1.7,"$2,827,113,184,696",60,101.2
9200,56,Diversified,M,180.75,4.5,"$1,699,876,578,871",81.9,102.6
9200,79,Diversified,F,110.51,1.8,"$530,832,908,738",67,126.6
9200,47,Energy,M,116.48,2.8,"$246,489,245,495",64.1,100.7
9200,82,Media & Entertainment,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
9200,77,Technology,M,180.44,7.7,"$2,611,000,000,000",28.1,113
9200,85,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
9200,63,Fashion & Retail,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
9000,72,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
9000,66,Metals & Mining,M,99.55,0.4,"$703,082,435,360",59.6,105.2
9000,55,Real Estate,M,112.85,1.4,"$3,845,630,030,824",70.2,104
9000,73,Food & Beverage,M,116.76,1.9,"$1,736,425,629,520",68.9,100.9
9000,57,Manufacturing,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
8900,68,Food & Beverage,M,119.62,1.7,"$2,827,113,184,696",60,101.2
8900,63,Food & Beverage,M,119.62,1.7,"$2,827,113,184,696",60,101.2
8900,70,Food & Beverage,F,119.62,1.7,"$2,827,113,184,696",60,101.2
8800,47,Fashion & Retail,F,180.75,4.5,"$1,699,876,578,871",81.9,102.6
8800,71,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
8800,49,Technology,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
8800,38,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
8800,55,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
8800,64,Energy,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
8800,72,Energy,F,119.62,1.7,"$2,827,113,184,696",60,101.2
